Site_name,Date,Crab ID,Gut MP (% filter area)
Ocean Beach,2/27/25,OB01.1,0.232
Ocean Beach,2/27/25,OB01.2,0.102
Ocean Beach,2/27/25,OB01.3,0.098
Ocean Beach,2/27/25,OB01.4,0.201
Ocean Beach,2/27/25,OB01.5,0.018
Ocean Beach,2/27/25,OB01.6,0.115
Half Moon Bay,2/28/25,HMB01.1,0.116
Half Moon Bay,2/28/25,HMB01.2,0.189
Half Moon Bay,2/28/25,HMB01.3,0.101
Half Moon Bay,2/28/25,HMB01.4,0.076
Half Moon Bay,2/28/25,HMB01.5,0.054
Half Moon Bay,2/28/25,HMB01.6,0
Pescadero,3/1/25,P01.1,0
Pescadero,3/1/25,P01.2,0.011
Pescadero,3/1/25,P01.3,0.042
Pescadero,3/1/25,P01.4,0.015
Pescadero,3/1/25,P01.5,0.125
Pescadero,3/1/25,P01.6,0.111
Half Moon Bay,3/5/25,HMB02.1,0.177
Half Moon Bay,3/5/25,HMB02.2,0.143
Half Moon Bay,3/5/25,HMB02.3,0.099
Half Moon Bay,3/5/25,HMB02.4,0.064
Half Moon Bay,3/5/25,HMB02.5,0.188
Half Moon Bay,3/5/25,HMB02.6,0
Pescadero,3/6/25,P02.1,0.014
Pescadero,3/6/25,P02.2,0.055
Pescadero,3/6/25,P02.3,0.025
Pescadero,3/6/25,P02.4,0.098
Pescadero,3/6/25,P02.5,0.064
Pescadero,3/6/25,P02.6,0
Half Moon Bay,3/8/25,HMB03.1,0.112
Half Moon Bay,3/8/25,HMB03.2,0.014
Half Moon Bay,3/8/25,HMB03.3,0.168
Half Moon Bay,3/8/25,HMB03.4,0.121
Half Moon Bay,3/8/25,HMB03.5,0
Half Moon Bay,3/8/25,HMB03.6,0.054
Ocean Beach,3/15/25,OB02.1,0.198
Ocean Beach,3/15/25,OB02.2,0.214
Ocean Beach,3/15/25,OB02.3,0.088
Ocean Beach,3/15/25,OB02.4,0.164
Ocean Beach,3/15/25,OB02.5,0.194
Ocean Beach,3/15/25,OB02.6,0.188
Half Moon Bay,3/20/25,HMB04.1,0.077
Half Moon Bay,3/20/25,HMB04.2,0.084
Half Moon Bay,3/20/25,HMB04.3,0.096
Half Moon Bay,3/20/25,HMB04.4,0.087
Half Moon Bay,3/20/25,HMB04.5,0.114
Half Moon Bay,3/20/25,HMB04.6,0.098
Pescadero,3/22/25,P03.1,0.014
Pescadero,3/22/25,P03.2,0
Pescadero,3/22/25,P03.3,0
Pescadero,3/22/25,P03.4,0.017
Pescadero,3/22/25,P03.5,0.123
Pescadero,3/22/25,P03.6,0.012
Half Moon Bay,3/26/25,HMB05.1,0.114
Half Moon Bay,3/26/25,HMB05.2,0.124
Half Moon Bay,3/26/25,HMB05.3,0.152
Half Moon Bay,3/26/25,HMB05.4,0
Half Moon Bay,3/26/25,HMB05.5,0.045
Half Moon Bay,3/26/25,HMB05.6,0.104
Ocean Beach,4/2/25,OB03.1,0.175
Ocean Beach,4/2/25,OB03.2,0.199
Ocean Beach,4/2/25,OB03.3,0.104
Ocean Beach,4/2/25,OB03.4,0.138
Ocean Beach,4/2/25,OB03.5,0.188
Ocean Beach,4/2/25,OB03.6,0.126
Pescadero,4/3/25,P04.1,0.104
Pescadero,4/3/25,P04.2,0
Pescadero,4/3/25,P04.3,0.011
Pescadero,4/3/25,P04.4,0.023
Pescadero,4/3/25,P04.5,0.067
Pescadero,4/3/25,P04.6,0.088
